"TIME","GEO","UNIT","LANDCOVER","Value","Flag and Footnotes"
"2012","Ipeiros","Percentage","Artificial land","1.8",""
"2009","Ipeiros","Percentage","Artificial land","1.8",""
"2018","Kentriki Ellada","Percentage","Artificial land","3.9",""
"2015","Kentriki Ellada","Percentage","Artificial land","2.8",""
"2012","Kentriki Ellada","Percentage","Artificial land","2.7",""
"2009","Kentriki Ellada","Percentage","Artificial land","2.4",""
"2018","Thessalia","Percentage","Artificial land","3.1",""
"2015","Thessalia","Percentage","Artificial land","2.7",""
"2012","Thessalia","Percentage","Artificial land","2.5",""
"2009","Thessalia","Percentage","Artificial land","2.3",""
"2018","Ionia Nisia","Percentage","Artificial land","6.9",""
"2015","Ionia Nisia","Percentage","Artificial land","2.2",""
"2012","Ionia Nisia","Percentage","Artificial land","2","u"
"2009","Ionia Nisia","Percentage","Artificial land",":",""
"2018","Dytiki Ellada","Percentage","Artificial land","4",""
"2015","Dytiki Ellada","Percentage","Artificial land","3.1",""
"2012","Dytiki Ellada","Percentage","Artificial land","2.8",""
"2009","Dytiki Ellada","Percentage","Artificial land","2.8",""
"2018","Sterea Ellada","Percentage","Artificial land","3.2",""
"2015","Sterea Ellada","Percentage","Artificial land","2.5",""
"2012","Sterea Ellada","Percentage","Artificial land","2.5",""
"2009","Sterea Ellada","Percentage","Artificial land","2.3",""
"2018","Peloponnisos","Percentage","Artificial land","4.7",""
"2015","Peloponnisos","Percentage","Artificial land","3.2",""
"2012","Peloponnisos","Percentage","Artificial land","3",""
"2009","Peloponnisos","Percentage","Artificial land","2.8",""
"2018","Spain","Percentage","Artificial land","3.7",""
"2015","Spain","Percentage","Artificial land","3.4",""
"2012","Spain","Percentage","Artificial land","3.3",""
"2009","Spain","Percentage","Artificial land","3.2",""
"2018","Noroeste (ES)","Percentage","Artificial land","4.5",""
"2015","Noroeste (ES)","Percentage","Artificial land","4.3",""
"2012","Noroeste (ES)","Percentage","Artificial land","4.2",""
"2009","Noroeste (ES)","Percentage","Artificial land","4.1",""
"2018","Galicia","Percentage","Artificial land","5",""
"2015","Galicia","Percentage","Artificial land","4.6",""
"2012","Galicia","Percentage","Artificial land","4.5",""
"2009","Galicia","Percentage","Artificial land","4.4",""
"2018","Principado de Asturias","Percentage","Artificial land","3.3",""
"2015","Principado de Asturias","Percentage","Artificial land","3.3",""
"2012","Principado de Asturias","Percentage","Artificial land","3.3",""
"2009","Principado de Asturias","Percentage","Artificial land","3.2",""
"2018","Cantabria","Percentage","Artificial land","3.8",""
"2015","Cantabria","Percentage","Artificial land","4.1",""
"2012","Cantabria","Percentage","Artificial land","4",""
"2009","Cantabria","Percentage","Artificial land","3.8",""
"2018","Noreste (ES)","Percentage","Artificial land","3",""
"2015","Noreste (ES)","Percentage","Artificial land","2.8",""
"2012","Noreste (ES)","Percentage","Artificial land","2.7",""
"2009","Noreste (ES)","Percentage","Artificial land","2.6",""
"2018","País Vasco","Percentage","Artificial land","5.9",""
"2015","País Vasco","Percentage","Artificial land","6.5",""
"2012","País Vasco","Percentage","Artificial land","5.9",""
"2009","País Vasco","Percentage","Artificial land","5.6",""
"2018","Comunidad Foral de Navarra","Percentage","Artificial land","3.8",""
"2015","Comunidad Foral de Navarra","Percentage","Artificial land","3.2",""
"2012","Comunidad Foral de Navarra","Percentage","Artificial land","3.1",""
"2009","Comunidad Foral de Navarra","Percentage","Artificial land","3",""
"2018","La Rioja","Percentage","Artificial land","2.7","u"
"2015","La Rioja","Percentage","Artificial land","3.4",""
"2012","La Rioja","Percentage","Artificial land","3.4",""
"2009","La Rioja","Percentage","Artificial land","3.4",""
"2018","Aragón","Percentage","Artificial land","2.3",""
"2015","Aragón","Percentage","Artificial land","2.1",""
"2012","Aragón","Percentage","Artificial land","2",""
"2009","Aragón","Percentage","Artificial land","2",""
"2018","Comunidad de Madrid","Percentage","Artificial land","11.7",""
"2015","Comunidad de Madrid","Percentage","Artificial land","10.6",""
"2012","Comunidad de Madrid","Percentage","Artificial land","10.1",""
"2009","Comunidad de Madrid","Percentage","Artificial land","9.7",""
"2018","Comunidad de Madrid","Percentage","Artificial land","11.7",""
"2015","Comunidad de Madrid","Percentage","Artificial land","10.6",""
"2012","Comunidad de Madrid","Percentage","Artificial land","10.1",""
"2009","Comunidad de Madrid","Percentage","Artificial land","9.7",""
"2018","Centro (ES)","Percentage","Artificial land","2.5",""
"2015","Centro (ES)","Percentage","Artificial land","2.1",""
"2012","Centro (ES)","Percentage","Artificial land","2",""
"2009","Centro (ES)","Percentage","Artificial land","2",""
"2018","Castilla y León","Percentage","Artificial land","2.7",""
"2015","Castilla y León","Percentage","Artificial land","2.1",""
"2012","Castilla y León","Percentage","Artificial land","2",""
"2009","Castilla y León","Percentage","Artificial land","2",""
"2018","Castilla-la Mancha","Percentage","Artificial land","2.5",""
"2015","Castilla-la Mancha","Percentage","Artificial land","2.2",""
"2012","Castilla-la Mancha","Percentage","Artificial land","2.1",""
"2009","Castilla-la Mancha","Percentage","Artificial land","2.1",""
"2018","Extremadura","Percentage","Artificial land","2.4",""
"2015","Extremadura","Percentage","Artificial land","2.1",""
"2012","Extremadura","Percentage","Artificial land","2",""
"2009","Extremadura","Percentage","Artificial land","1.9",""
"2018","Este (ES)","Percentage","Artificial land","6.3",""
"2015","Este (ES)","Percentage","Artificial land","6.4",""
"2012","Este (ES)","Percentage","Artificial land","6.2",""
"2009","Este (ES)","Percentage","Artificial land","5.7",""
"2018","Cataluña","Percentage","Artificial land","5.3",""
"2015","Cataluña","Percentage","Artificial land","6.5",""
"2012","Cataluña","Percentage","Artificial land","6.4",""
"2009","Cataluña","Percentage","Artificial land","6.3",""
"2018","Comunitat Valenciana","Percentage","Artificial land","7.2",""
"2015","Comunitat Valenciana","Percentage","Artificial land","6.5",""
"2012","Comunitat Valenciana","Percentage","Artificial land","6.2",""
"2009","Comunitat Valenciana","Percentage","Artificial land","6.1",""
"2018","Illes Balears","Percentage","Artificial land","9.1","u"
"2015","Illes Balears","Percentage","Artificial land","5.2",""
"2012","Illes Balears","Percentage","Artificial land","5.1",""
"2009","Illes Balears","Percentage","Artificial land",":",""
"2018","Sur (ES)","Percentage","Artificial land","4.2",""
"2015","Sur (ES)","Percentage","Artificial land","3.8",""
"2012","Sur (ES)","Percentage","Artificial land","3.7",""
"2009","Sur (ES)","Percentage","Artificial land","3.6",""
"2018","Andalucía","Percentage","Artificial land","3.8",""
"2015","Andalucía","Percentage","Artificial land","3.4",""
"2012","Andalucía","Percentage","Artificial land","3.3",""
"2009","Andalucía","Percentage","Artificial land","3.3",""
"2018","Región de Murcia","Percentage","Artificial land","7.1",""
"2015","Región de Murcia","Percentage","Artificial land","6.7",""
"2012","Región de Murcia","Percentage","Artificial land","6.4",""
"2009","Región de Murcia","Percentage","Artificial land","6.2",""
"2018","France","Percentage","Artificial land","5.6",""
"2015","France","Percentage","Artificial land","5.4",""
"2012","France","Percentage","Artificial land","5.2",""
"2009","France","Percentage","Artificial land","5.1",""
"2018","Île de France","Percentage","Artificial land","14.5",""
"2015","Île de France","Percentage","Artificial land","13.6",""
"2012","Île de France","Percentage","Artificial land","12.5",""
"2009","Île de France","Percentage","Artificial land","11.5",""
"2018","Île de France","Percentage","Artificial land","14.5",""
"2015","Île de France","Percentage","Artificial land","13.6",""
"2012","Île de France","Percentage","Artificial land","12.5",""
"2009","Île de France","Percentage","Artificial land","11.5",""
"2018","Centre - Val de Loire","Percentage","Artificial land","3.7",""
"2015","Centre - Val de Loire","Percentage","Artificial land",":",""
"2012","Centre - Val de Loire","Percentage","Artificial land",":",""
"2009","Centre - Val de Loire","Percentage","Artificial land",":",""
"2018","Centre - Val de Loire","Percentage","Artificial land","3.7",""
"2015","Centre - Val de Loire","Percentage","Artificial land",":",""
"2012","Centre - Val de Loire","Percentage","Artificial land",":",""
"2009","Centre - Val de Loire","Percentage","Artificial land",":",""
"2018","Bourgogne - Franche-Comté","Percentage","Artificial land","3.7",""
"2015","Bourgogne - Franche-Comté","Percentage","Artificial land",":",""
"2012","Bourgogne - Franche-Comté","Percentage","Artificial land",":",""
"2009","Bourgogne - Franche-Comté","Percentage","Artificial land",":",""
"2018","Bourgogne","Percentage","Artificial land","3.6",""
"2015","Bourgogne","Percentage","Artificial land",":",""
"2012","Bourgogne","Percentage","Artificial land",":",""
"2009","Bourgogne","Percentage","Artificial land",":",""
"2018","Franche-Comté","Percentage","Artificial land","4",""
"2015","Franche-Comté","Percentage","Artificial land",":",""
"2012","Franche-Comté","Percentage","Artificial land",":",""
"2009","Franche-Comté","Percentage","Artificial land",":",""
"2018","Normandie","Percentage","Artificial land","6.5",""
"2015","Normandie","Percentage","Artificial land",":",""
"2012","Normandie","Percentage","Artificial land",":",""
"2009","Normandie","Percentage","Artificial land",":",""
"2018","Basse-Normandie","Percentage","Artificial land","6.6",""
"2015","Basse-Normandie","Percentage","Artificial land",":",""
"2012","Basse-Normandie","Percentage","Artificial land",":",""
"2009","Basse-Normandie","Percentage","Artificial land",":",""
"2018","Haute-Normandie","Percentage","Artificial land","6.3",""
"2015","Haute-Normandie","Percentage","Artificial land",":",""
"2012","Haute-Normandie","Percentage","Artificial land",":",""
"2009","Haute-Normandie","Percentage","Artificial land",":",""
"2018","Hauts-de-France","Percentage","Artificial land","7.5",""
"2015","Hauts-de-France","Percentage","Artificial land",":",""
"2012","Hauts-de-France","Percentage","Artificial land",":",""
"2009","Hauts-de-France","Percentage","Artificial land",":",""
"2018","Nord-Pas-de-Calais","Percentage","Artificial land","9",""
"2015","Nord-Pas-de-Calais","Percentage","Artificial land",":",""
"2012","Nord-Pas-de-Calais","Percentage","Artificial land",":",""
"2009","Nord-Pas-de-Calais","Percentage","Artificial land",":",""
"2018","Picardie","Percentage","Artificial land","6.5",""
"2015","Picardie","Percentage","Artificial land",":",""
"2012","Picardie","Percentage","Artificial land",":",""
"2009","Picardie","Percentage","Artificial land",":",""
"2018","Grand Est","Percentage","Artificial land","5.4",""
"2015","Grand Est","Percentage","Artificial land",":",""
"2012","Grand Est","Percentage","Artificial land",":",""
"2009","Grand Est","Percentage","Artificial land",":",""
"2018","Alsace","Percentage","Artificial land","8.9",""
"2015","Alsace","Percentage","Artificial land",":",""
"2012","Alsace","Percentage","Artificial land",":",""
"2009","Alsace","Percentage","Artificial land",":",""
"2018","Champagne-Ardenne","Percentage","Artificial land","4.2",""
"2015","Champagne-Ardenne","Percentage","Artificial land",":",""
"2012","Champagne-Ardenne","Percentage","Artificial land",":",""
"2009","Champagne-Ardenne","Percentage","Artificial land",":",""
"2018","Lorraine","Percentage","Artificial land","5.6",""
"2015","Lorraine","Percentage","Artificial land",":",""
"2012","Lorraine","Percentage","Artificial land",":",""
"2009","Lorraine","Percentage","Artificial land",":",""
"2018","Pays-de-la-Loire","Percentage","Artificial land","7.4",""
"2015","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2012","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2009","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2018","Pays-de-la-Loire","Percentage","Artificial land","7.4",""
"2015","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2012","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2009","Pays-de-la-Loire","Percentage","Artificial land",":",""
"2018","Bretagne","Percentage","Artificial land","7.7",""
"2015","Bretagne","Percentage","Artificial land",":",""
"2012","Bretagne","Percentage","Artificial land",":",""
"2009","Bretagne","Percentage","Artificial land",":",""
"2018","Bretagne","Percentage","Artificial land","7.7",""
"2015","Bretagne","Percentage","Artificial land",":",""
"2012","Bretagne","Percentage","Artificial land",":",""
"2009","Bretagne","Percentage","Artificial land",":",""
"2018","Nouvelle-Aquitaine","Percentage","Artificial land","5.1",""
"2015","Nouvelle-Aquitaine","Percentage","Artificial land",":",""
"2012","Nouvelle-Aquitaine","Percentage","Artificial land",":",""
"2009","Nouvelle-Aquitaine","Percentage","Artificial land",":",""
"2018","Aquitaine","Percentage","Artificial land","5",""
"2015","Aquitaine","Percentage","Artificial land",":",""
"2012","Aquitaine","Percentage","Artificial land",":",""
"2009","Aquitaine","Percentage","Artificial land",":",""
"2018","Limousin","Percentage","Artificial land","4.3",""
"2015","Limousin","Percentage","Artificial land",":",""
"2012","Limousin","Percentage","Artificial land",":",""
"2009","Limousin","Percentage","Artificial land",":",""
"2018","Poitou-Charentes","Percentage","Artificial land","5.8",""
"2015","Poitou-Charentes","Percentage","Artificial land",":",""
"2012","Poitou-Charentes","Percentage","Artificial land",":",""
"2009","Poitou-Charentes","Percentage","Artificial land",":",""
"2018","Occitanie","Percentage","Artificial land","4.8",""
"2015","Occitanie","Percentage","Artificial land",":",""
"2012","Occitanie","Percentage","Artificial land",":",""
"2009","Occitanie","Percentage","Artificial land",":",""
"2018","Languedoc-Roussillon","Percentage","Artificial land","5.5",""
"2015","Languedoc-Roussillon","Percentage","Artificial land",":",""
"2012","Languedoc-Roussillon","Percentage","Artificial land",":",""
"2009","Languedoc-Roussillon","Percentage","Artificial land",":",""
"2018","Midi-Pyrénées","Percentage","Artificial land","4.3",""
"2015","Midi-Pyrénées","Percentage","Artificial land",":",""
"2012","Midi-Pyrénées","Percentage","Artificial land",":",""
"2009","Midi-Pyrénées","Percentage","Artificial land",":",""
"2018","Auvergne - Rhône-Alpes","Percentage","Artificial land","5.5",""
"2015","Auvergne - Rhône-Alpes","Percentage","Artificial land",":",""
"2012","Auvergne - Rhône-Alpes","Percentage","Artificial land",":",""
"2009","Auvergne - Rhône-Alpes","Percentage","Artificial land",":",""
"2018","Auvergne","Percentage","Artificial land","4.3",""
"2015","Auvergne","Percentage","Artificial land",":",""
"2012","Auvergne","Percentage","Artificial land",":",""
"2009","Auvergne","Percentage","Artificial land",":",""
"2018","Rhône-Alpes","Percentage","Artificial land","6.2",""
"2015","Rhône-Alpes","Percentage","Artificial land",":",""
"2012","Rhône-Alpes","Percentage","Artificial land",":",""
"2009","Rhône-Alpes","Percentage","Artificial land",":",""
"2018","Provence-Alpes-Côte d'Azur","Percentage","Artificial land","5.8",""
"2015","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2012","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2009","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2018","Provence-Alpes-Côte d'Azur","Percentage","Artificial land","5.8",""
"2015","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2012","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2009","Provence-Alpes-Côte d'Azur","Percentage","Artificial land",":",""
"2018","Corse","Percentage","Artificial land","3.4",""
"2015","Corse","Percentage","Artificial land",":",""
"2012","Corse","Percentage","Artificial land",":",""
"2009","Corse","Percentage","Artificial land",":",""
"2018","Corse","Percentage","Artificial land","3.4",""
"2015","Corse","Percentage","Artificial land",":",""
"2012","Corse","Percentage","Artificial land",":",""
"2009","Corse","Percentage","Artificial land",":",""
"2018","Bassin Parisien (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Bassin Parisien (NUTS 2013)","Percentage","Artificial land","4.2",""
"2012","Bassin Parisien (NUTS 2013)","Percentage","Artificial land","4",""
"2009","Bassin Parisien (NUTS 2013)","Percentage","Artificial land","3.9",""
"2018","Champagne-Ardenne (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Champagne-Ardenne (NUTS 2013)","Percentage","Artificial land","3.7",""
"2012","Champagne-Ardenne (NUTS 2013)","Percentage","Artificial land","3.5",""
"2009","Champagne-Ardenne (NUTS 2013)","Percentage","Artificial land","3.4",""
"2018","Picardie (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Picardie (NUTS 2013)","Percentage","Artificial land","4.2",""
"2012","Picardie (NUTS 2013)","Percentage","Artificial land","4",""
"2009","Picardie (NUTS 2013)","Percentage","Artificial land","3.9",""
"2018","Haute-Normandie (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Haute-Normandie (NUTS 2013)","Percentage","Artificial land","5.7",""
"2012","Haute-Normandie (NUTS 2013)","Percentage","Artificial land","5.3",""
"2009","Haute-Normandie (NUTS 2013)","Percentage","Artificial land","5.2",""
"2018","Centre (FR) (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Centre (FR) (NUTS 2013)","Percentage","Artificial land","4.1",""
"2012","Centre (FR) (NUTS 2013)","Percentage","Artificial land","4",""
"2009","Centre (FR) (NUTS 2013)","Percentage","Artificial land","3.9",""
"2018","Basse-Normandie (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Basse-Normandie (NUTS 2013)","Percentage","Artificial land","5.7",""
"2012","Basse-Normandie (NUTS 2013)","Percentage","Artificial land","5.5",""
"2009","Basse-Normandie (NUTS 2013)","Percentage","Artificial land","5.3",""
"2018","Bourgogne (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Bourgogne (NUTS 2013)","Percentage","Artificial land","3.4",""
"2012","Bourgogne (NUTS 2013)","Percentage","Artificial land","3.3",""
"2009","Bourgogne (NUTS 2013)","Percentage","Artificial land","3.1",""
"2018","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","10",""
"2012","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","9.7",""
"2009","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","9.3",""
"2018","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","10",""
"2012","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","9.7",""
"2009","Nord-Pas-de-Calais (NUTS 2013)","Percentage","Artificial land","9.3",""
"2018","Est (FR) (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Est (FR) (NUTS 2013)","Percentage","Artificial land","5.1",""
"2012","Est (FR) (NUTS 2013)","Percentage","Artificial land","5",""
"2009","Est (FR) (NUTS 2013)","Percentage","Artificial land","4.8",""
"2018","Lorraine (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Lorraine (NUTS 2013)","Percentage","Artificial land","4.7",""
"2012","Lorraine (NUTS 2013)","Percentage","Artificial land","4.5",""
"2009","Lorraine (NUTS 2013)","Percentage","Artificial land","4.4",""
"2018","Alsace (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Alsace (NUTS 2013)","Percentage","Artificial land","8.9",""
"2012","Alsace (NUTS 2013)","Percentage","Artificial land","8.8",""
"2009","Alsace (NUTS 2013)","Percentage","Artificial land","8.5",""
"2018","Franche-Comté (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Franche-Comté (NUTS 2013)","Percentage","Artificial land","3.9",""
"2012","Franche-Comté (NUTS 2013)","Percentage","Artificial land","3.8",""
"2009","Franche-Comté (NUTS 2013)","Percentage","Artificial land","3.7",""
"2018","Ouest (FR) (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Ouest (FR) (NUTS 2013)","Percentage","Artificial land","6.8",""
"2012","Ouest (FR) (NUTS 2013)","Percentage","Artificial land","6.7",""
"2009","Ouest (FR) (NUTS 2013)","Percentage","Artificial land","6.7",""
"2018","Pays de la Loire (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Pays de la Loire (NUTS 2013)","Percentage","Artificial land","7.1",""
"2012","Pays de la Loire (NUTS 2013)","Percentage","Artificial land","7.1",""
"2009","Pays de la Loire (NUTS 2013)","Percentage","Artificial land","7.1",""
"2018","Bretagne (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Bretagne (NUTS 2013)","Percentage","Artificial land","7.7",""
"2012","Bretagne (NUTS 2013)","Percentage","Artificial land","7.6",""
"2009","Bretagne (NUTS 2013)","Percentage","Artificial land","7.5",""
"2018","Poitou-Charentes (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Poitou-Charentes (NUTS 2013)","Percentage","Artificial land","5.5",""
"2012","Poitou-Charentes (NUTS 2013)","Percentage","Artificial land","5.3",""
"2009","Poitou-Charentes (NUTS 2013)","Percentage","Artificial land","5.2",""
"2018","Sud-Ouest (FR) (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Sud-Ouest (FR) (NUTS 2013)","Percentage","Artificial land","4.5",""
"2012","Sud-Ouest (FR) (NUTS 2013)","Percentage","Artificial land","4.4",""
"2009","Sud-Ouest (FR) (NUTS 2013)","Percentage","Artificial land","4.3",""
"2018","Aquitaine (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Aquitaine (NUTS 2013)","Percentage","Artificial land","5.2",""
"2012","Aquitaine (NUTS 2013)","Percentage","Artificial land","5.1",""
"2009","Aquitaine (NUTS 2013)","Percentage","Artificial land","5",""
"2018","Midi-Pyrénées (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Midi-Pyrénées (NUTS 2013)","Percentage","Artificial land","3.9",""
"2012","Midi-Pyrénées (NUTS 2013)","Percentage","Artificial land","3.8",""
"2009","Midi-Pyrénées (NUTS 2013)","Percentage","Artificial land","3.7",""
"2018","Limousin (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Limousin (NUTS 2013)","Percentage","Artificial land","4.4",""
"2012","Limousin (NUTS 2013)","Percentage","Artificial land","4.2",""
"2009","Limousin (NUTS 2013)","Percentage","Artificial land","4.2",""
"2018","Centre-Est (FR) (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Centre-Est (FR) (NUTS 2013)","Percentage","Artificial land","5.3",""
"2012","Centre-Est (FR) (NUTS 2013)","Percentage","Artificial land","5.2",""
"2009","Centre-Est (FR) (NUTS 2013)","Percentage","Artificial land","5.1",""
"2018","Rhône-Alpes (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Rhône-Alpes (NUTS 2013)","Percentage","Artificial land","5.9",""
"2012","Rhône-Alpes (NUTS 2013)","Percentage","Artificial land","5.7",""
"2009","Rhône-Alpes (NUTS 2013)","Percentage","Artificial land","5.6",""
"2018","Auvergne (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Auvergne (NUTS 2013)","Percentage","Artificial land","4.4",""
"2012","Auvergne (NUTS 2013)","Percentage","Artificial land","4.4",""
"2009","Auvergne (NUTS 2013)","Percentage","Artificial land","4.2",""
"2018","Méditerranée (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Méditerranée (NUTS 2013)","Percentage","Artificial land","5.1",""
"2012","Méditerranée (NUTS 2013)","Percentage","Artificial land","5.1",""
"2009","Méditerranée (NUTS 2013)","Percentage","Artificial land","5",""
"2018","Languedoc-Roussillon (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Languedoc-Roussillon (NUTS 2013)","Percentage","Artificial land","5.2",""
"2012","Languedoc-Roussillon (NUTS 2013)","Percentage","Artificial land","5.2",""
"2009","Languedoc-Roussillon (NUTS 2013)","Percentage","Artificial land","5.1",""
"2018","Provence-Alpes-Côte d'Azur (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Provence-Alpes-Côte d'Azur (NUTS 2013)","Percentage","Artificial land","6",""
"2012","Provence-Alpes-Côte d'Azur (NUTS 2013)","Percentage","Artificial land","6",""
"2009","Provence-Alpes-Côte d'Azur (NUTS 2013)","Percentage","Artificial land","5.9",""
"2018","Corse (NUTS 2013)","Percentage","Artificial land",":",""
"2015","Corse (NUTS 2013)","Percentage","Artificial land","1.5",""
"2012","Corse (NUTS 2013)","Percentage","Artificial land","1.4",""
"2009","Corse (NUTS 2013)","Percentage","Artificial land","1.1",""
"2018","Croatia","Percentage","Artificial land","3.2",""
"2015","Croatia","Percentage","Artificial land","3.7",""
"2012","Croatia","Percentage","Artificial land",":",""
"2009","Croatia","Percentage","Artificial land",":",""
"2018","Hrvatska","Percentage","Artificial land","3.2",""
"2015","Hrvatska","Percentage","Artificial land","3.7",""
"2012","Hrvatska","Percentage","Artificial land",":",""
"2009","Hrvatska","Percentage","Artificial land",":",""
"2018","Jadranska Hrvatska","Percentage","Artificial land","2.5",""
"2015","Jadranska Hrvatska","Percentage","Artificial land","3.6",""
"2012","Jadranska Hrvatska","Percentage","Artificial land",":",""
"2009","Jadranska Hrvatska","Percentage","Artificial land",":",""
"2018","Kontinentalna Hrvatska (NUTS 2016)","Percentage","Artificial land","3.7",""
"2015","Kontinentalna Hrvatska (NUTS 2016)","Percentage","Artificial land","3.7",""
"2012","Kontinentalna Hrvatska (NUTS 2016)","Percentage","Artificial land",":",""
"2009","Kontinentalna Hrvatska (NUTS 2016)","Percentage","Artificial land",":",""
"2018","Italy","Percentage","Artificial land","6.6",""
"2015","Italy","Percentage","Artificial land","6.9",""
"2012","Italy","Percentage","Artificial land","6.8",""
"2009","Italy","Percentage","Artificial land","6.6",""
"2018","Nord-Ovest","Percentage","Artificial land","7.8",""
"2015","Nord-Ovest","Percentage","Artificial land","8.7",""
"2012","Nord-Ovest","Percentage","Artificial land","8.6",""
"2009","Nord-Ovest","Percentage","Artificial land","8.5",""
"2018","Piemonte","Percentage","Artificial land","6.3",""
"2015","Piemonte","Percentage","Artificial land","6.9",""
"2012","Piemonte","Percentage","Artificial land","6.8",""
"2009","Piemonte","Percentage","Artificial land","6.7",""
"2018","Valle d'Aosta/Vallée d'Aoste","Percentage","Artificial land","2.5","u"
"2015","Valle d'Aosta/Vallée d'Aoste","Percentage","Artificial land","3",""
"2012","Valle d'Aosta/Vallée d'Aoste","Percentage","Artificial land","2.8",""
"2009","Valle d'Aosta/Vallée d'Aoste","Percentage","Artificial land","2.6",""
"2018","Liguria","Percentage","Artificial land","4.5","u"
"2015","Liguria","Percentage","Artificial land","8.7",""
"2012","Liguria","Percentage","Artificial land","8",""
"2009","Liguria","Percentage","Artificial land","7.9",""
"2018","Lombardia","Percentage","Artificial land","10.8",""
"2015","Lombardia","Percentage","Artificial land","11.5",""
"2012","Lombardia","Percentage","Artificial land","11.4",""
"2009","Lombardia","Percentage","Artificial land","11.4",""
"2018","Nord-Est","Percentage","Artificial land","7.1",""
"2015","Nord-Est","Percentage","Artificial land","7.1",""
"2012","Nord-Est","Percentage","Artificial land","6.9",""
"2009","Nord-Est","Percentage","Artificial land","6.7",""
"2018","Provincia Autonoma di Bolzano/Bozen","Percentage","Artificial land","2.4","u"
"2015","Provincia Autonoma di Bolzano/Bozen","Percentage","Artificial land","2.8",""
"2012","Provincia Autonoma di Bolzano/Bozen","Percentage","Artificial land","2.7",""
"2009","Provincia Autonoma di Bolzano/Bozen","Percentage","Artificial land","2.2",""
"2018","Provincia Autonoma di Trento","Percentage","Artificial land","2.9",""
"2015","Provincia Autonoma di Trento","Percentage","Artificial land","2.7",""
"2012","Provincia Autonoma di Trento","Percentage","Artificial land","2.4",""
"2009","Provincia Autonoma di Trento","Percentage","Artificial land","2.3",""
"2018","Veneto","Percentage","Artificial land","9.4",""
"2015","Veneto","Percentage","Artificial land","10.3",""
"2012","Veneto","Percentage","Artificial land","10.1",""
"2009","Veneto","Percentage","Artificial land","9.9",""
"2018","Friuli-Venezia Giulia","Percentage","Artificial land","5.4",""
"2015","Friuli-Venezia Giulia","Percentage","Artificial land","5.2",""
"2012","Friuli-Venezia Giulia","Percentage","Artificial land","5",""
"2009","Friuli-Venezia Giulia","Percentage","Artificial land","4.7",""
"2018","Emilia-Romagna","Percentage","Artificial land","8.5",""
"2015","Emilia-Romagna","Percentage","Artificial land","7.8",""
"2012","Emilia-Romagna","Percentage","Artificial land","7.7",""
"2009","Emilia-Romagna","Percentage","Artificial land","7.6",""
"2018","Centro (IT)","Percentage","Artificial land","6.5",""
"2015","Centro (IT)","Percentage","Artificial land","6.5",""
"2012","Centro (IT)","Percentage","Artificial land","6.3",""
"2009","Centro (IT)","Percentage","Artificial land","6.2",""
"2018","Toscana","Percentage","Artificial land","5.8",""
"2015","Toscana","Percentage","Artificial land","6",""
